State,final,!,&,",",-,.,/,0,:,;,<,=,>,D,L,N,[,|,],^,_,+,e,(,*,),{,}
A,,B,C,D,E,F,G,H,I,J,K,L,M,,N,O,P,Q,R,,,S,,T,U,V,W,X
B,!,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,&,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,",",,,,,,,,,,,,,,,,,,,,,,,,,,,
E,-,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
F,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,/,,,,,,Z,,,,,,,,,,,,,,,,,,AA,,,
H,integer,,,,,AB,,,,,,,,,,,,,,,,,,,,,,
I,:,,,,,,,,AC,,,,,,,,,,,,,,,,,,,
J,;,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,<,,,,,,,,,,,AD,AE,,,,,,,,,,,,,,,
L,=,,,,,,,,,,,AF,,,,,,,,,,,,,,,,
M,>,,,,,,,,,,,AG,,,,,,,,,,,,,,,,
N,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
O,integer,,,,,AB,,,,,,,,AL,,AM,,,,,,,,,,,,
P,[,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,|,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,],,,,,,,,,,,,,,,,,,,,,,,,,,,
S,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,(,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,),,,,,,,,,,,,,,,,,,,,,,,,,,,
W,{,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,},,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,->,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,//,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,,,,,,,,,,,,,,,,,,,AN,,,,,AO,,,
AB,,,,,,,,AP,,,,,,AQ,,AR,,,,,,,,,,,,
AC,::,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,<=,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,<>,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,==,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AI,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AJ,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AK,integer,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AL,integer,,,,,AB,,,,,,,,AL,,AM,,,,,,,,,,,,
AM,integer,,,,,AB,,,,,,,,AL,,AM,,,,,,,,,,,,
AN,,,,,,,,,,,,,,,,,,,,AN,,,,,AO,,,
AO,,,,,,,AS,,,,,,,,,,,,,,,,,,,,,
AP,float,,,,,,,,,,,,,,,,,,,,,,AT,,,,,
AQ,,,,,,,,,,,,,,AQ,,AR,,,,,,,,,,,,
AR,float,,,,,,,,,,,,,AQ,,AR,,,,,,,AT,,,,,
AS,/*...*/,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,,,,,AU,,,AV,,,,,,,,AW,,,,,,AX,,,,,,
AU,,,,,,,,AV,,,,,,,,AW,,,,,,,,,,,,
AV,float,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,float,,,,,,,,,,,,,AY,,AZ,,,,,,,,,,,,
AX,,,,,,,,AV,,,,,,,,AW,,,,,,,,,,,,
AY,float,,,,,,,,,,,,,AY,,AZ,,,,,,,,,,,,
AZ,float,,,,,,,,,,,,,AY,,AZ,,,,,,,,,,,,
