nonterminal,first set,follow set,nullable,endable
START,eof struct impl func,∅,no,yes
ARRAYSIZE2,intlit rsqbr,semi lsqbr rpar comma,no,no
EXPR2,eq neq lt gt leq geq,semi comma rpar,yes,no
FACTOR2,lpar lsqbr,mult div and semi dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
FUNCBODY,lcurbr,struct impl func rcurbr eof,no,no
FUNCHEAD,func,semi lcurbr,no,no
FPARAMS,id,rpar,yes,no
STATEMENTIDNEST2,dot,semi,yes,no
STATEMENTIDNEST3,dot equal,semi,no,no
ASSIGNOP,equal,id intlit floatlit lpar not plus minus,no,no
EXPR,id intlit floatlit lpar not plus minus,semi comma rpar,no,no
STATEMENTIDNEST,dot lpar lsqbr equal,semi,no,no
REPTVARIABLEORFUNCTIONCALL,dot,mult div and semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
IDNEST,dot,mult div and dot semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
IDNEST2,lpar lsqbr,mult div and dot semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
INDICE,lsqbr,mult div and equal lsqbr semi dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
FUNCDECL,func,rcurbr public private,no,no
PROG,struct impl func,eof,yes,no
RELEXPR,id intlit floatlit lpar not plus minus,rpar,no,no
ARITHEXPR,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq comma rpar,no,no
RELOP,eq neq lt gt leq geq,id intlit floatlit lpar not plus minus,no,no
APARAMSTAIL,comma,comma rpar,no,no
REPTAPARAMS1,comma,rpar,yes,no
REPTFPARAMS3,lsqbr,rpar comma,yes,no
FPARAMSTAIL,comma,comma rpar,no,no
REPTFPARAMS4,comma,rpar,yes,no
REPTFPARAMSTAIL4,lsqbr,comma rpar,yes,no
REPTFUNCBODY1,let id if while read write return,rcurbr,yes,no
REPTIMPLDEF3,func,rcurbr,yes,no
REPTOPTSTRUCTDECL22,comma,lcurbr,yes,no
REPTPROG0,struct impl func,eof,yes,no
MEMBERDECL,let func,rcurbr public private,no,no
ARRAYSIZE,lsqbr,semi lsqbr rpar comma,no,no
RETURNTYPE,void integer float id,semi lcurbr,no,no
ADDOP,plus minus or,id intlit floatlit lpar not plus minus,no,no
RIGHTRECARITHEXPR,plus minus or,semi rsqbr eq neq lt gt leq geq comma rpar,yes,no
MULTOP,mult div and,id intlit floatlit lpar not plus minus,no,no
SIGN,plus minus,id intlit floatlit lpar not plus minus,no,no
STATBLOCK,lcurbr id if while read write return,else semi,yes,no
REPTSTATBLOCK1,id if while read write return,rcurbr,yes,no
OPTSTRUCTDECL2,inherits,lcurbr,yes,no
REPTSTRUCTDECL4,public private,rcurbr,yes,no
STRUCTORIMPLORFUNC,struct impl func,struct impl func eof,no,no
STRUCTDECL,struct,struct impl func eof,no,no
IMPLDEF,impl,struct impl func eof,no,no
FUNCDEF,func,struct impl func rcurbr eof,no,no
TERM,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
FACTOR,id intlit floatlit lpar not plus minus,mult div and semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
RIGHTRECTERM,mult div and,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
TYPE,integer float id,rpar lcurbr comma lsqbr semi,no,no
REPTVARDECL4,lsqbr,semi,yes,no
VARDECLORSTAT,let id if while read write return,let id if while read write return rcurbr,no,no
VARDECL,let,public private let id if while read write return rcurbr,no,no
STATEMENT,id if while read write return,let id if while read write return else semi rcurbr,no,no
VARIABLE,id,rpar,no,no
VARIABLE2,lpar lsqbr dot,rpar,yes,no
REPTVARIABLE,dot,rpar,yes,no
VARIDNEST2,lpar lsqbr,dot rpar,yes,no
APARAMS,id intlit floatlit lpar not plus minus,rpar,yes,no
VARIDNEST,dot,dot rpar,no,no
REPTIDNEST1,lsqbr,mult div and equal semi dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
VISIBILITY,public private,let func,no,no
