State,final,!,&,",",-,.,/,0,:,;,<,=,>,D,L,N,[,|,],^,_,+,e,(,*,),{,}
A,,B,C,D,E,F,G,H,I,J,K,L,M,,N,O,P,Q,R,,,S,,T,U,V,W,X
B,!,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,&,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,",",,,,,,,,,,,,,,,,,,,,,,,,,,,
E,-,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
F,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,/,,,,,,Z,,,,,,,,,,,,,,,,,,AA,,,
H,intnum,,,,,AB,,,,,,,,,,,,,,,,,,,,,,
I,:,,,,,,,,AC,,,,,,,,,,,,,,,,,,,
J,;,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,<,,,,,,,,,,,AD,AE,,,,,,,,,,,,,,,
L,=,,,,,,,,,,,AF,,,,,,,,,,,,,,,,
M,>,,,,,,,,,,,AG,,,,,,,,,,,,,,,,
N,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
O,intnum,,,,,AB,,,,,,,,AL,,AM,,,,,,,,,,,,
P,[,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,|,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,],,,,,,,,,,,,,,,,,,,,,,,,,,,
S,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,(,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,),,,,,,,,,,,,,,,,,,,,,,,,,,,
W,{,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,},,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,->,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z,//,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,,,,,,,,,,,,,,,,,,,AN,,,,,AO,,,
AB,,,,,,,,AP,,,,,,AQ,,AR,,,,,,,,,,,,
AC,::,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,<=,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,<>,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,==,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AI,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AJ,id,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AK,intnum,,,,,,,,,,,,,AH,AI,AJ,,,,,AK,,,,,,,
AL,intnum,,,,,AB,,,,,,,,AL,,AM,,,,,,,,,,,,
AM,intnum,,,,,AB,,,,,,,,AL,,AM,,,,,,,,,,,,
AN,,,,,,,,,,,,,,,,,,,,AN,,,,,AO,,,
AO,,,,,,,AS,,,,,,,,,,,,,,,,,,,,,
AP,floatnum,,,,,,,,,,,,,,,,,,,,,,AT,,,,,
AQ,,,,,,,,,,,,,,AQ,,AR,,,,,,,,,,,,
AR,floatnum,,,,,,,,,,,,,AQ,,AR,,,,,,,AT,,,,,
AS,/*...*/,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,,,,,AU,,,AV,,,,,,,,AW,,,,,,AX,,,,,,
AU,,,,,,,,AV,,,,,,,,AW,,,,,,,,,,,,
AV,floatnum,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,floatnum,,,,,,,,,,,,,AY,,AZ,,,,,,,,,,,,
AX,,,,,,,,AV,,,,,,,,AW,,,,,,,,,,,,
AY,floatnum,,,,,,,,,,,,,AY,,AZ,,,,,,,,,,,,
AZ,floatnum,,,,,,,,,,,,,AY,,AZ,,,,,,,,,,,,
